token_idx,layer_id,expert_id,source
3,4,121,SSD
3,4,233,RAM
3,4,162,SSD
3,4,8,SSD
3,4,206,SSD
3,4,110,SSD
3,4,1,SSD
3,5,77,SSD
3,5,64,SSD
3,5,153,RAM
3,5,60,SSD
3,5,242,SSD
3,5,52,SSD
3,5,177,SSD
3,5,198,RAM
3,6,102,SSD
3,6,57,SSD
3,6,195,SSD
3,6,220,SSD
3,6,156,RAM
3,6,201,SSD
3,6,185,SSD
3,6,171,RAM
3,7,199,RAM
3,7,223,SSD
3,7,96,SSD
3,7,24,SSD
3,7,166,SSD
3,7,132,SSD
3,7,212,SSD
3,7,30,SSD
3,8,224,RAM
3,8,63,SSD
3,8,41,SSD
3,8,151,RAM
3,8,123,SSD
3,8,72,SSD
3,8,206,SSD
3,8,16,SSD
3,9,166,SSD
3,9,243,RAM
3,9,44,RAM
3,9,134,SSD
3,9,61,RAM
3,9,32,SSD
3,9,251,SSD
3,9,3,SSD
3,10,146,SSD
3,10,116,SSD
3,10,122,RAM
3,10,19,SSD
3,10,20,SSD
3,10,205,SSD
3,10,242,SSD
3,10,156,SSD
3,11,141,SSD
3,11,37,SSD
3,11,14,RAM
3,11,237,SSD
3,11,71,SSD
3,11,204,RAM
3,11,56,SSD
3,11,134,SSD
3,12,50,SSD
3,12,208,RAM
3,12,2,SSD
3,12,9,SSD
3,12,42,SSD
3,12,116,SSD
3,12,97,SSD
3,12,163,SSD
3,13,174,SSD
3,13,0,SSD
3,13,126,SSD
3,13,13,RAM
3,13,185,SSD
3,13,47,SSD
3,13,228,SSD
3,13,40,SSD
3,14,138,RAM
3,14,189,RAM
3,14,44,SSD
3,14,252,RAM
3,14,17,SSD
3,14,67,SSD
3,14,58,SSD
3,14,78,SSD
3,15,206,RAM
3,15,18,SSD
3,15,12,SSD
3,15,3,SSD
3,15,238,SSD
3,15,245,SSD
3,15,134,SSD
3,15,33,SSD
3,16,59,SSD
3,16,234,SSD
3,16,169,SSD
3,16,53,SSD
3,16,130,RAM
3,16,82,SSD
3,16,224,SSD
3,16,102,SSD
3,17,60,RAM
3,17,220,SSD
3,17,69,SSD
3,17,4,SSD
3,17,164,SSD
3,17,8,SSD
3,17,89,RAM
3,17,115,RAM
3,18,209,SSD
3,18,116,SSD
3,18,117,SSD
3,18,66,SSD
3,18,17,RAM
3,18,229,SSD
3,18,94,SSD
3,18,108,SSD
3,19,137,RAM
3,19,48,SSD
3,19,124,SSD
3,19,47,SSD
3,19,248,SSD
3,19,14,RAM
3,19,197,RAM
3,19,35,RAM
3,20,41,RAM
3,20,224,RAM
3,20,151,RAM
3,20,56,RAM
3,20,172,SSD
3,20,1,SSD
3,20,117,SSD
3,20,238,RAM
3,21,166,RAM
3,21,32,SSD
3,21,243,SSD
3,21,251,SSD
3,21,95,RAM
3,21,61,RAM
