token_idx,layer_id,event,vram_mb,ram_mb
3,32,After Layer 32,5449.9365234375,9112.58203125
3,33,Before Layer 33,5449.912109375,9112.546875
3,33,After Layer 33,5449.9365234375,9111.03515625
3,34,Before Layer 34,5449.912109375,9111.015625
3,34,After Layer 34,5449.9365234375,9107.93359375
3,35,Before Layer 35,5449.912109375,9107.91796875
3,35,After Layer 35,5449.9384765625,9106.80859375
3,36,Before Layer 36,5449.9140625,9106.72265625
3,36,After Layer 36,5449.9384765625,9106.5625
3,37,Before Layer 37,5449.9140625,9106.546875
3,37,After Layer 37,5449.9384765625,9105.9296875
3,38,Before Layer 38,5449.9140625,9105.91796875
3,38,After Layer 38,5449.9384765625,9107.73828125
3,39,Before Layer 39,5449.9140625,9107.72265625
3,39,After Layer 39,5449.9404296875,9107.2734375
4,0,Before Layer 0,5449.916015625,9107.3984375
4,0,After Layer 0,5449.9404296875,9121.95703125
4,1,Before Layer 1,5449.916015625,9121.9453125
4,1,After Layer 1,5449.9404296875,9111.32421875
4,2,Before Layer 2,5449.916015625,9111.32421875
4,2,After Layer 2,5449.9404296875,9132.58203125
4,3,Before Layer 3,5449.916015625,9132.58203125
4,3,After Layer 3,5449.9423828125,9147.828125
4,4,Before Layer 4,5449.91796875,9147.828125
4,4,After Layer 4,5449.9423828125,9160.22265625
4,5,Before Layer 5,5449.91796875,9160.2265625
4,5,After Layer 5,5449.9423828125,9166.99609375
4,6,Before Layer 6,5449.91796875,9166.99609375
4,6,After Layer 6,5449.9423828125,9170.484375
4,7,Before Layer 7,5449.91796875,9170.48828125
4,7,After Layer 7,5449.9443359375,9171.47265625
4,8,Before Layer 8,5449.919921875,9171.47265625
4,8,After Layer 8,5449.9443359375,9175.0625
4,9,Before Layer 9,5449.919921875,9175.0625
4,9,After Layer 9,5449.9443359375,9175.828125
4,10,Before Layer 10,5449.919921875,9175.828125
4,10,After Layer 10,5449.9443359375,9175.2265625
4,11,Before Layer 11,5449.919921875,9175.203125
4,11,After Layer 11,5449.9462890625,9175.91796875
4,12,Before Layer 12,5449.921875,9175.89453125
4,12,After Layer 12,5449.9462890625,9169.1640625
4,13,Before Layer 13,5449.921875,9169.140625
4,13,After Layer 13,5449.9462890625,9161.796875
4,14,Before Layer 14,5449.921875,9161.7734375
4,14,After Layer 14,5449.9462890625,9160.3125
4,15,Before Layer 15,5449.921875,9160.1953125
4,15,After Layer 15,5449.9482421875,9150.8125
4,16,Before Layer 16,5449.923828125,9150.78125
4,16,After Layer 16,5449.9482421875,9145.1796875
4,17,Before Layer 17,5449.923828125,9145.15625
4,17,After Layer 17,5449.9482421875,9140.61328125
4,18,Before Layer 18,5449.923828125,9140.58984375
4,18,After Layer 18,5449.9482421875,9134.65234375
4,19,Before Layer 19,5449.923828125,9134.63671875
4,19,After Layer 19,5449.9501953125,9129.9296875
4,20,Before Layer 20,5449.92578125,9129.91015625
4,20,After Layer 20,5449.9501953125,9128.74609375
4,21,Before Layer 21,5449.92578125,9128.7265625
4,21,After Layer 21,5449.9501953125,9125.14453125
4,22,Before Layer 22,5449.92578125,9125.12109375
4,22,After Layer 22,5449.9501953125,9124.08984375
4,23,Before Layer 23,5449.92578125,9124.06640625
4,23,After Layer 23,5449.9521484375,9070.56640625
4,24,Before Layer 24,5449.927734375,9070.56640625
4,24,After Layer 24,5449.9521484375,9076.2109375
4,25,Before Layer 25,5449.927734375,9076.2109375
4,25,After Layer 25,5449.9521484375,9053.11328125
4,26,Before Layer 26,5449.927734375,9052.80078125
4,26,After Layer 26,5449.9521484375,9020.60546875
4,27,Before Layer 27,5449.927734375,9018.67578125
4,27,After Layer 27,5449.9541015625,8994.015625
4,28,Before Layer 28,5449.9296875,8994.015625
4,28,After Layer 28,5449.9541015625,9000.46875
4,29,Before Layer 29,5449.9296875,9000.46875
4,29,After Layer 29,5449.9541015625,9000.92578125
