expert_id,activation_count,tokens_routed,load_count,execution_time_sec,avg_batch_size,max_batch_size,cache_hits,cache_misses
140,90,861,0,0.03583322497433983,9.566666666666666,81,0,0
141,109,1844,0,0.0437209109950345,16.91743119266055,107,0,0
142,98,975,0,0.03959572999883676,9.948979591836734,73,0,0
143,120,1643,0,0.05186439204408089,13.691666666666666,184,0,0
144,115,1421,0,0.04525156798626995,12.356521739130434,87,0,0
145,106,1759,0,0.04227612198155839,16.59433962264151,135,0,0
146,122,1159,0,0.047935437971318606,9.5,90,0,0
147,112,1797,0,0.04497446101595415,16.044642857142858,171,0,0
148,108,1600,0,0.04287060198839754,14.814814814814815,120,0,0
149,113,843,0,0.04400283903669333,7.460176991150442,54,0,0
150,113,2783,0,0.045521806976466905,24.628318584070797,140,0,0
151,134,2384,0,0.05451475505105918,17.791044776119403,259,0,0
152,110,1103,0,0.04377611703966977,10.027272727272727,105,0,0
153,114,1966,0,0.046437426026386674,17.24561403508772,182,0,0
154,116,3185,0,0.0487102999468334,27.45689655172414,256,0,0
155,120,1091,0,0.04885480002849363,9.091666666666667,77,0,0
156,108,1017,0,0.04223776501748944,9.416666666666666,53,0,0
157,127,1518,0,0.05116802898555761,11.952755905511811,106,0,0
158,127,2250,0,0.05178838603023905,17.716535433070867,262,0,0
159,125,1651,0,0.050475058022129815,13.208,85,0,0
160,124,3062,0,0.049863301996083464,24.693548387096776,183,0,0
161,103,1594,0,0.041910643041774165,15.475728155339805,152,0,0
162,133,3085,0,0.054442538996227086,23.195488721804512,244,0,0
163,125,2395,0,0.05168205995869357,19.16,146,0,0
164,105,1427,0,0.04247848695376888,13.59047619047619,150,0,0
165,134,3166,0,0.054745867011661176,23.62686567164179,194,0,0
166,127,1677,0,0.05124836902541574,13.204724409448819,86,0,0
167,134,2993,0,0.05398150405380875,22.33582089552239,99,0,0
168,82,556,0,0.031884370029729325,6.780487804878049,74,0,0
169,112,1655,0,0.045140545029425994,14.776785714285714,125,0,0
170,135,1615,0,0.05378477499471046,11.962962962962964,91,0,0
171,118,1225,0,0.04703798601258313,10.38135593220339,53,0,0
172,109,1590,0,0.043792746982944664,14.587155963302752,166,0,0
173,116,2476,0,0.047143163974396884,21.344827586206897,184,0,0
174,126,1854,0,0.05055327604350168,14.714285714285714,183,0,0
175,125,1656,0,0.04907299297337886,13.248,145,0,0
176,106,1686,0,0.04187514301156625,15.90566037735849,184,0,0
177,115,1177,0,0.04576707205706043,10.234782608695653,103,0,0
178,85,725,0,0.03264101901004324,8.529411764705882,72,0,0
179,103,1297,0,0.04161076900345506,12.592233009708737,152,0,0
180,113,1408,0,0.04662312398431823,12.460176991150442,75,0,0
181,124,991,0,0.05031263599084923,7.991935483870968,65,0,0
182,124,2542,0,0.049990459985565394,20.5,219,0,0
183,114,1604,0,0.04436640095082112,14.070175438596491,94,0,0
184,83,1229,0,0.03250227501121117,14.80722891566265,171,0,0
185,134,2998,0,0.054267835956125055,22.37313432835821,179,0,0
186,118,1567,0,0.04646173805667786,13.279661016949152,158,0,0
187,105,943,0,0.04070355598378228,8.980952380952381,51,0,0
188,121,1391,0,0.04784950397879584,11.49586776859504,105,0,0
189,113,1693,0,0.043994323947117664,14.982300884955752,121,0,0
190,83,802,0,0.03182523199211573,9.662650602409638,122,0,0
191,141,3740,0,0.05726900399895385,26.52482269503546,208,0,0
192,138,2201,0,0.05575302904617274,15.94927536231884,126,0,0
193,97,1480,0,0.037875301990425214,15.257731958762887,116,0,0
194,106,1056,0,0.04154927397030406,9.962264150943396,59,0,0
195,104,2144,0,0.04160574801790062,20.615384615384617,238,0,0
196,132,2490,0,0.05641940103669185,18.863636363636363,191,0,0
197,130,2556,0,0.05187287894659676,19.661538461538463,135,0,0
198,145,1979,0,0.05811166901548859,13.648275862068965,93,0,0
199,127,2756,0,0.051108435007336084,21.700787401574804,160,0,0
200,114,1221,0,0.04480335800326429,10.710526315789474,81,0,0
201,125,1946,0,0.049166611053806264,15.568,165,0,0
202,124,2470,0,0.049322522987495176,19.919354838709676,221,0,0
203,110,2431,0,0.044578323017049115,22.1,174,0,0
204,127,2289,0,0.05029362301866058,18.023622047244096,129,0,0
205,98,1890,0,0.03991538204718381,19.285714285714285,109,0,0
206,128,2217,0,0.050604821008164436,17.3203125,126,0,0
207,99,1167,0,0.03908230202796403,11.787878787878787,72,0,0
208,95,1362,0,0.03740790303709218,14.336842105263157,130,0,0
209,128,2639,0,0.05182883798261173,20.6171875,427,0,0
210,121,1413,0,0.047667780017945915,11.677685950413224,108,0,0
