token_idx,layer_id,expert_id,source
3,9,197,GPU
3,9,125,GPU
3,10,62,GPU
3,10,171,GPU
3,10,63,GPU
3,10,234,GPU
3,10,205,GPU
3,10,8,GPU
3,10,196,GPU
3,10,142,GPU
3,11,111,GPU
3,11,107,GPU
3,11,145,GPU
3,11,3,GPU
3,11,69,GPU
3,11,56,GPU
3,11,194,GPU
3,11,204,GPU
3,12,208,GPU
3,12,139,GPU
3,12,150,GPU
3,12,42,GPU
3,12,3,GPU
3,12,66,GPU
3,12,39,GPU
3,12,43,GPU
3,13,13,GPU
3,13,199,GPU
3,13,219,GPU
3,13,40,GPU
3,13,174,GPU
3,13,213,GPU
3,13,228,GPU
3,13,28,GPU
3,14,52,GPU
3,14,138,GPU
3,14,252,GPU
3,14,67,GPU
3,14,167,GPU
3,14,58,GPU
3,14,137,GPU
3,14,111,GPU
3,15,233,GPU
3,15,206,GPU
3,15,194,GPU
3,15,100,GPU
3,15,230,GPU
3,15,85,GPU
3,15,142,GPU
3,15,151,GPU
3,16,170,GPU
3,16,51,GPU
3,16,130,GPU
3,16,169,GPU
3,16,205,GPU
3,16,214,GPU
3,16,31,GPU
3,16,54,GPU
3,17,115,GPU
3,17,60,GPU
3,17,35,GPU
3,17,199,GPU
3,17,236,GPU
3,17,204,GPU
3,17,88,GPU
3,17,64,GPU
3,18,192,GPU
3,18,13,GPU
3,18,205,GPU
3,18,226,GPU
3,18,17,GPU
3,18,117,GPU
3,18,158,GPU
3,18,212,GPU
3,19,137,GPU
3,19,4,GPU
3,19,35,GPU
3,19,197,GPU
3,19,75,GPU
3,19,33,GPU
3,19,14,GPU
3,19,59,GPU
3,20,224,GPU
3,20,41,GPU
3,20,107,GPU
3,20,151,GPU
3,20,56,GPU
3,20,102,GPU
3,20,171,GPU
3,20,75,GPU
3,21,166,GPU
3,21,61,GPU
3,21,217,GPU
3,21,207,GPU
3,21,134,GPU
3,21,243,GPU
3,21,103,GPU
3,21,197,GPU
3,22,205,GPU
3,22,232,GPU
3,22,63,GPU
3,22,116,GPU
3,22,234,GPU
3,22,122,GPU
3,22,194,GPU
3,22,196,GPU
3,23,107,GPU
3,23,111,GPU
3,23,145,GPU
3,23,66,GPU
3,23,204,GPU
3,23,56,GPU
3,23,69,GPU
3,23,134,GPU
3,24,106,GPU
3,24,1,GPU
3,24,39,GPU
3,24,221,GPU
3,24,139,GPU
3,24,206,GPU
3,24,42,GPU
3,24,214,GPU
3,25,13,GPU
3,25,199,GPU
3,25,200,GPU
3,25,137,GPU
3,25,28,GPU
3,25,174,GPU
3,25,202,GPU
3,25,228,GPU
3,26,67,GPU
3,26,138,GPU
3,26,52,GPU
3,26,252,GPU
3,26,137,GPU
3,26,83,GPU
3,26,146,GPU
3,26,71,GPU
3,27,233,GPU
3,27,241,GPU
3,27,85,GPU
3,27,80,GPU
3,27,100,GPU
3,27,155,GPU
3,27,230,GPU
3,27,213,GPU
3,28,54,GPU
3,28,149,GPU
3,28,243,GPU
3,28,130,GPU
3,28,31,GPU
3,28,165,GPU
3,28,185,GPU
3,28,45,GPU
3,29,236,GPU
3,29,188,GPU
3,29,115,GPU
3,29,60,GPU
3,29,220,GPU
3,29,28,GPU
3,29,102,GPU
3,29,89,GPU
3,30,13,GPU
3,30,192,GPU
3,30,220,GPU
3,30,158,GPU
3,30,106,GPU
3,30,165,GPU
3,30,17,GPU
3,30,240,GPU
3,31,229,GPU
3,31,137,GPU
3,31,67,GPU
3,31,233,GPU
3,31,14,GPU
3,31,196,GPU
3,31,71,GPU
3,31,33,GPU
3,32,96,GPU
3,32,75,GPU
3,32,18,GPU
3,32,199,GPU
3,32,116,GPU
3,32,42,GPU
3,32,186,GPU
3,32,151,GPU
3,33,49,GPU
3,33,11,GPU
3,33,81,GPU
3,33,253,GPU
3,33,182,GPU
3,33,94,GPU
3,33,136,GPU
3,33,58,GPU
3,34,196,GPU
3,34,205,GPU
3,34,19,GPU
3,34,180,GPU
3,34,101,GPU
3,34,54,GPU
3,34,130,GPU
3,34,181,GPU
3,35,132,GPU
3,35,153,GPU
3,35,253,GPU
3,35,165,GPU
3,35,104,GPU
3,35,14,GPU
3,35,167,GPU
3,35,12,GPU
3,36,158,GPU
3,36,8,GPU
3,36,0,GPU
3,36,155,GPU
3,36,177,GPU
3,36,118,GPU
3,36,131,GPU
3,36,28,GPU
3,37,229,GPU
3,37,64,GPU
3,37,89,GPU
3,37,11,GPU
3,37,4,GPU
3,37,75,GPU
3,37,93,GPU
3,37,21,GPU
3,38,22,GPU
3,38,94,GPU
3,38,127,GPU
3,38,59,GPU
3,38,209,GPU
3,38,205,GPU
3,38,255,GPU
3,38,128,GPU
3,39,145,GPU
3,39,16,GPU
3,39,34,GPU
3,39,89,GPU
3,39,9,GPU
3,39,116,GPU
3,39,30,GPU
3,39,62,GPU
4,0,222,GPU
4,0,208,GPU
4,0,81,GPU
4,0,20,GPU
4,0,28,GPU
4,0,151,GPU
4,0,47,GPU
4,0,217,GPU
4,1,75,GPU
4,1,59,GPU
4,1,153,GPU
4,1,64,GPU
4,1,11,GPU
4,1,114,GPU
4,1,83,GPU
4,1,132,GPU
4,2,216,GPU
4,2,42,GPU
4,2,158,GPU
4,2,193,GPU
4,2,3,GPU
4,2,58,GPU
4,2,71,GPU
4,2,254,GPU
4,3,243,GPU
4,3,36,GPU
4,3,16,GPU
4,3,163,GPU
4,3,228,GPU
4,3,251,GPU
4,3,56,GPU
4,3,159,GPU
4,4,175,GPU
4,4,121,GPU
4,4,233,GPU
4,4,162,GPU
4,4,8,GPU
4,4,206,GPU
4,4,178,GPU
4,4,207,GPU
4,5,77,GPU
4,5,52,GPU
4,5,64,GPU
4,5,60,GPU
4,5,91,GPU
4,5,45,GPU
4,5,242,GPU
4,5,139,GPU
4,6,201,GPU
4,6,220,GPU
4,6,171,GPU
4,6,102,GPU
4,6,57,GPU
4,6,195,GPU
4,6,50,GPU
4,6,152,GPU
4,7,199,GPU
4,7,212,GPU
4,7,223,GPU
4,7,96,GPU
4,7,38,GPU
4,7,182,GPU
4,7,6,GPU
4,7,132,GPU
4,8,63,GPU
4,8,224,GPU
4,8,41,GPU
4,8,151,GPU
4,8,55,GPU
4,8,182,GPU
4,8,6,GPU
4,8,123,GPU
4,9,166,GPU
4,9,134,GPU
4,9,44,GPU
4,9,243,GPU
4,9,61,GPU
4,9,32,GPU
4,9,95,GPU
4,9,250,GPU
4,10,146,GPU
4,10,205,GPU
4,10,116,GPU
4,10,19,GPU
4,10,26,GPU
4,10,20,GPU
4,10,242,GPU
4,10,70,GPU
4,11,237,GPU
4,11,141,GPU
4,11,204,GPU
4,11,10,GPU
4,11,37,GPU
4,11,197,GPU
4,11,56,GPU
4,11,146,GPU
4,12,50,GPU
4,12,208,GPU
4,12,2,GPU
4,12,42,GPU
4,12,150,GPU
4,12,9,GPU
4,12,23,GPU
4,12,116,GPU
4,13,174,GPU
4,13,185,GPU
4,13,13,GPU
4,13,228,GPU
4,13,155,GPU
4,13,47,GPU
4,13,0,GPU
4,13,40,GPU
4,14,138,GPU
4,14,252,GPU
4,14,189,GPU
4,14,44,GPU
4,14,17,GPU
4,14,67,GPU
4,14,58,GPU
4,14,220,GPU
4,15,18,GPU
4,15,206,GPU
4,15,100,GPU
4,15,155,GPU
4,15,112,GPU
4,15,80,GPU
4,15,245,GPU
4,15,122,GPU
4,16,234,GPU
4,16,59,GPU
4,16,169,GPU
4,16,129,GPU
4,16,130,GPU
4,16,67,GPU
4,16,102,GPU
4,16,53,GPU
4,17,60,GPU
4,17,220,GPU
4,17,204,GPU
4,17,4,GPU
4,17,126,GPU
4,17,164,GPU
4,17,69,GPU
4,17,199,GPU
4,18,117,GPU
4,18,116,GPU
